layer,proposer_type,budget,observation_label_recovery_rate,delay_label_recovery_rate,candidate_family_recovery_rate,best_rolling_error_after_k,top_epsilon_hit_rate,best_rolling_score_after_k,post_selection_test_mae,candidate_diversity
synthetic_execution,deterministic_seed_proposer,3,1.0,0.5,1.0,0.041027743710821414,0.5,,,
synthetic_execution,deterministic_seed_proposer,5,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,deterministic_seed_proposer,10,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,exhaustive_oracle,3,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,exhaustive_oracle,5,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,exhaustive_oracle,10,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,failure_guided_proposer,3,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,failure_guided_proposer,5,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,failure_guided_proposer,10,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,mock_api_proposer,3,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,mock_api_proposer,5,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,mock_api_proposer,10,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,no_observation_label_baseline,3,0.5,0.5,0.5,0.06670270683813063,0.5,,,
synthetic_execution,no_observation_label_baseline,5,0.5,0.5,0.5,0.06670270683813063,0.5,,,
synthetic_execution,no_observation_label_baseline,10,0.5,0.5,0.5,0.06670270683813063,0.5,,,
synthetic_execution,random_candidate_proposer,3,1.0,0.8333333333333334,1.0,0.025927363267772396,0.8333333333333334,,,
synthetic_execution,random_candidate_proposer,5,1.0,1.0,1.0,0.018573961343959118,1.0,,,
synthetic_execution,random_candidate_proposer,10,1.0,1.0,1.0,0.018573961343959118,1.0,,,
frozen_replay,deterministic_seed_proposer,3,,,,,0.5,0.09257936507936504,0.0954545454545454,1.0
frozen_replay,deterministic_seed_proposer,5,,,,,0.5,0.09257936507936504,0.0954545454545454,2.0
frozen_replay,deterministic_seed_proposer,10,,,,,1.0,0.0718461494356262,0.0987936404098497,4.0
frozen_replay,mock_api_proposer,3,,,,,1.0,0.0718461494356262,0.0987936404098497,3.0
frozen_replay,mock_api_proposer,5,,,,,1.0,0.0718461494356262,0.0987936404098497,4.0
frozen_replay,mock_api_proposer,10,,,,,1.0,0.0718461494356262,0.0987936404098497,4.0
frozen_replay,oracle_full_candidate_ranking,3,,,,,1.0,0.0718461494356262,0.0987936404098497,2.0
frozen_replay,oracle_full_candidate_ranking,5,,,,,1.0,0.0718461494356262,0.0987936404098497,3.0
frozen_replay,oracle_full_candidate_ranking,10,,,,,1.0,0.0718461494356262,0.0987936404098497,4.0
frozen_replay,random_candidate_proposer,3,,,,,0.5,0.0908179740425297,0.06178642082445605,3.0
frozen_replay,random_candidate_proposer,5,,,,,0.5,0.0908179740425297,0.06178642082445605,3.5
frozen_replay,random_candidate_proposer,10,,,,,1.0,0.0718461494356262,0.0987936404098497,4.0
