series_name,proposer_type,round_idx,proposed_count,accepted_count,valid_proposal_rate,duplicate_rate,new_useful_candidate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,family_diversity,observation_label_diversity,top_epsilon_hit_by_round,best_rolling_score_by_round,selected_model_by_round,candidate_jaccard_vs_previous_round
0-4 yr,mock_api_iterative,1,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,3,3,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,mock_api_iterative,2,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,3,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,mock_api_iterative,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,mock_api_single_shot,1,9,9,1.0,0.0,0.2222222222222222,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,mock_api_single_shot,2,0,0,,,,,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,mock_api_single_shot,3,0,0,,,,,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,failure_guided_proposer,1,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,2,2,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,failure_guided_proposer,2,3,3,1.0,0.0,0.0,0.0,0.0,3,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,failure_guided_proposer,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,random_candidate_proposer,1,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,3,2,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,random_candidate_proposer,2,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,random_candidate_proposer,3,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,deterministic_seed_proposer,1,3,3,1.0,0.0,0.0,0.0,0.0,1,1,False,0.1416666666666667,arima_auto_small,1.0
0-4 yr,deterministic_seed_proposer,2,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,3,2,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,deterministic_seed_proposer,3,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,oracle_reference,1,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,2,1,True,0.100200235379189,constrained_structure_discovery,1.0
0-4 yr,oracle_reference,2,3,3,1.0,0.0,0.0,0.0,0.0,3,3,True,0.100200235379189,constrained_structure_discovery,0.0
0-4 yr,oracle_reference,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.100200235379189,constrained_structure_discovery,0.0
18-49 yr,mock_api_iterative,1,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,1,1,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,mock_api_iterative,2,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,4,2,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,mock_api_iterative,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,mock_api_single_shot,1,9,9,1.0,0.0,0.2222222222222222,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,mock_api_single_shot,2,0,0,,,,,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,mock_api_single_shot,3,0,0,,,,,0.0,4,3,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,failure_guided_proposer,1,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,1,1,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,failure_guided_proposer,2,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,3,2,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,failure_guided_proposer,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,random_candidate_proposer,1,3,3,1.0,0.0,0.0,0.0,0.0,2,3,False,0.0787418202336159,exhaustive_structure_discovery,1.0
18-49 yr,random_candidate_proposer,2,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,3,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,random_candidate_proposer,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,deterministic_seed_proposer,1,3,3,1.0,0.0,0.6666666666666666,0.0,0.0,1,1,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,deterministic_seed_proposer,2,3,3,1.0,0.0,0.0,0.0,0.0,3,2,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,deterministic_seed_proposer,3,3,3,1.0,0.0,0.3333333333333333,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,oracle_reference,1,3,3,1.0,0.0,1.0,0.0,0.0,2,2,True,0.0304497354497354,arima_auto_small,1.0
18-49 yr,oracle_reference,2,3,3,1.0,0.0,0.0,0.0,0.0,3,2,True,0.0304497354497354,arima_auto_small,0.0
18-49 yr,oracle_reference,3,3,3,1.0,0.0,0.0,0.0,0.0,4,3,True,0.0304497354497354,arima_auto_small,0.0
