"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Apr-14-2026)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE, LOWER, MEDIAN, UPPER 
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,Influenza A,0.2,0.2,0.2,0.2,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,Influenza B,0,0,0.2,0.2,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,A(H1N1)pdm09,0.137858,0.137858,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,A(H3N2),0.0253152,0.0253152,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,Overall,0.2,0.2,0.2,0.2,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,White,Overall,0.2,0.2,0.17,0.17,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Black,Overall,0.3,0.3,0.29,0.29,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Hispanic/Latino,Overall,0.2,0.2,0.22,0.22,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Asian/Pacific Islander,Overall,0.3,0.3,0.31,0.31,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,0,0,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Male,Overall,Overall,0.2,0.2,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Female,Overall,Overall,0.2,0.2,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,A(H3N2),0.0651295,0.0398143,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,Overall,0.4,0.2,0.42,0.22,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,White,Overall,0.4,0.2,0.38,0.22,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Black,Overall,0.5,0.3,0.57,0.28,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Hispanic/Latino,Overall,0.3,0.1,0.42,0.2,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Asian/Pacific Islander,Overall,0.4,0.1,0.44,0.12,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,American Indian/Alaska Native,Overall,1.1,1.1,1.21,1.21,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Male,Overall,Overall,0.4,0.3,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Female,Overall,Overall,0.4,0.2,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,Influenza A,0.4,0.2,0.42,0.22,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,A(H1N1)pdm09,0.297115,0.159257,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,Influenza B,0.1,0,0.42,0.22,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,Overall,0.7,0.3,0.66,0.24,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,Influenza A,0.5,0.2,0.66,0.24,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,Influenza B,0.1,0.1,0.66,0.24,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,A(H1N1)pdm09,0.452176,0.155061,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,A(H3N2),0.0928223,0.0276928,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,White,Overall,0.6,0.2,0.56,0.17,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Black,Overall,0.9,0.4,1.02,0.45,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Hispanic/Latino,Overall,0.6,0.3,0.89,0.47,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Asian/Pacific Islander,Overall,0.5,0.1,0.59,0.16,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,American Indian/Alaska Native,Overall,1.1,0,1.21,0,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Male,Overall,Overall,0.7,0.2,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Female,Overall,Overall,0.7,0.3,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,White,Overall,0.8,0.2,0.72,0.16,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Black,Overall,1.4,0.4,1.47,0.45,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Hispanic/Latino,Overall,1.1,0.4,1.33,0.44,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Asian/Pacific Islander,Overall,0.8,0.3,0.89,0.3,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,American Indian/Alaska Native,Overall,1.1,0,1.21,0,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Male,Overall,Overall,0.9,0.2,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,Overall,1,0.3,0.92,0.25,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Female,Overall,Overall,1,0.3,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,Influenza A,0.7,0.2,0.92,0.25,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,Influenza B,0.2,0.1,0.92,0.25,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,A(H1N1)pdm09,0.613065,0.160889,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,A(H3N2),0.130912,0.0380893,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,Influenza B,0.3,0.1,1.35,0.43,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,Influenza A,1.1,0.4,1.35,0.43,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Female,Overall,Overall,1.5,0.5,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Male,Overall,Overall,1.3,0.4,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,American Indian/Alaska Native,Overall,1.6,0.5,1.86,0.64,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Asian/Pacific Islander,Overall,1.2,0.4,1.35,0.46,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Hispanic/Latino,Overall,1.5,0.4,1.88,0.55,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Black,Overall,2.1,0.8,2.26,0.79,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,White,Overall,1.2,0.4,1.04,0.32,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,Overall,1.4,0.5,1.35,0.43,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,A(H3N2),0.204852,0.0739408,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,A(H1N1)pdm09,0.920764,0.307698,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,White,Overall,1.7,0.5,1.5,0.46,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,Black,Overall,3.6,1.5,3.81,1.55,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,Hispanic/Latino,Overall,2.3,0.8,2.72,0.84,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,Asian/Pacific Islander,Overall,1.7,0.6,1.98,0.63,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,American Indian/Alaska Native,Overall,3.3,1.6,3.71,1.86,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Male,Overall,Overall,2.1,0.8,null,null,null,null,null
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Female,Overall,Overall,2.2,0.7,null,null,null,null,null
