Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (transformed from CDC RESP-NET dataset kvib-3txy on 2026-05-18)
Source: https://data.cdc.gov/w/kvib-3txy; rows filtered to Surveillance Network == FluSurv-NET; Observed rows fill WEEKLY/CUMULATIVE RATE and Age-Adjusted rows fill age-adjusted columns.
CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE
California,FluSurv-NET,2018-19,2018,40,Overall,Overall,Overall,Overall,0.0,0.2,,
Colorado,FluSurv-NET,2018-19,2018,40,Overall,Overall,Overall,Overall,0.0,0.0,,
Connecticut,FluSurv-NET,2018-19,2018,40,Overall,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,0-4 yr,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,0-<1 yr,Overall,Overall,Overall,0.0,0.3,,
Entire Network,FluSurv-NET,2018-19,2018,40,1-4 yr,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,12-17 yr,Overall,Overall,Overall,0.0,0.0,,
Entire Network,FluSurv-NET,2018-19,2018,40,18-29 yr,Overall,Overall,Overall,0.0,0.0,,
Entire Network,FluSurv-NET,2018-19,2018,40,18-49 yr,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,30-39 yr,Overall,Overall,Overall,0.0,0.0,,
Entire Network,FluSurv-NET,2018-19,2018,40,40-49 yr,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,5-11 yr,Overall,Overall,Overall,0.0,0.0,,
Entire Network,FluSurv-NET,2018-19,2018,40,5-17 yr,Overall,Overall,Overall,0.0,0.0,,
Entire Network,FluSurv-NET,2018-19,2018,40,50-64 yr,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,65-74 yr,Overall,Overall,Overall,0.0,0.2,,
Entire Network,FluSurv-NET,2018-19,2018,40,75-84 yr,Overall,Overall,Overall,0.0,0.3,,
Entire Network,FluSurv-NET,2018-19,2018,40,>= 65 yr,Overall,Overall,Overall,0.0,0.2,,
Entire Network,FluSurv-NET,2018-19,2018,40,>= 75,Overall,Overall,Overall,0.0,0.3,,
Entire Network,FluSurv-NET,2018-19,2018,40,>= 85,Overall,Overall,Overall,0.0,0.2,,
Entire Network,FluSurv-NET,2018-19,2018,40,Adults,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Female,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Male,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,"American Indian/Alaska Native, NH",Overall,0.0,0.0,0.0,0.0
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,"Asian/Pacific Islander, NH",Overall,0.0,0.2,0.22754272775767143,0.22754272775767143
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,"Black, NH",Overall,0.0,0.2,0.20914662926659025,0.20914662926659025
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,Hispanic,Overall,0.0,0.0,0.05937721387333089,0.05937721387333089
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,Overall,Overall,0.0,0.1,,
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,"White, NH",Overall,0.0,0.0,0.02743565997321374,0.02743565997321374
