proposer_type,layer,observation_label_recovery_rate,delay_label_recovery_rate,candidate_family_recovery_rate,best_rolling_error_after_k,budget_to_recover_true_label,budget_to_top_epsilon,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,top_epsilon_hit_rate,best_rolling_score_after_k,post_selection_test_mae,candidate_diversity
deterministic_seed_proposer,synthetic_execution,0.78625,0.72775,0.78625,0.08246908673512812,4.8,4.838,1.0,0.0,0.0,0.0,0.84525,,,
exhaustive_oracle,synthetic_execution,0.919,0.907,0.919,0.058527882302833005,3.014,3.0,1.0,0.0,0.0,0.0,1.0,,,
failure_guided_proposer,synthetic_execution,0.92325,0.91125,0.92325,0.0585443537071761,3.028,3.0,1.0,0.0,0.0,0.0,1.0,,,
mock_api_proposer,synthetic_execution,0.93125,0.919,0.93125,0.058559291559992975,3.0,3.0,1.0,0.0,0.0,0.0,1.0,,,
no_observation_label_baseline,synthetic_execution,0.2,0.4,0.2,0.12831529331715094,3.0,3.0,1.0,0.0,0.0,0.0,0.321,,,
random_candidate_proposer,synthetic_execution,0.82075,0.79425,0.82075,0.06921297367447536,4.017,4.007,1.0,0.0,0.0,0.0,0.9045,,,
deterministic_seed_proposer,frozen_replay,,,,,,6.5,1.0,0.0,0.0,0.0,0.75,0.09490849040462682,0.10702628195949197,2.75
mock_api_proposer,frozen_replay,,,,,,3.0,1.0,0.0,0.0,0.0,1.0,0.08509667105828733,0.08218517289023837,3.75
oracle_full_candidate_ranking,frozen_replay,,,,,,3.0,1.0,0.0,0.0,0.0,1.0,0.08295190144417433,0.0822343821008022,3.25
random_candidate_proposer,frozen_replay,,,,,,5.25,1.0,0.0,0.0,0.0,0.8125,0.09252943878887522,0.07516812025437866,3.4375
