series_name,proposer_type,round_idx,candidate_id,model_name,family,observation_label,delay_label,rolling_score,valid,duplicate_model_name,numerical_failure_flag
0-4 yr,mock_api_iterative,1,0-4 yr:mock_api_iterative:r1:0:constrained_structure_discovery,constrained_structure_discovery,structured_search,delayed_I,1,0.100200235379189,True,False,False
0-4 yr,mock_api_iterative,1,0-4 yr:mock_api_iterative:r1:1:no_observation_search_discovery,no_observation_search_discovery,ablation,I,0,0.1575152537203454,True,False,False
0-4 yr,mock_api_iterative,1,0-4 yr:mock_api_iterative:r1:2:arima_auto_small,arima_auto_small,forecasting_baseline,not_applicable,,0.1416666666666667,True,False,False
0-4 yr,mock_api_iterative,2,0-4 yr:mock_api_iterative:r2:0:random_structure_discovery,random_structure_discovery,ablation,delayed_I,1,0.1006873358594265,True,False,False
0-4 yr,mock_api_iterative,2,0-4 yr:mock_api_iterative:r2:1:validation_only_structure_selection,validation_only_structure_selection,ablation,delayed_I,1,0.1124130283910399,True,False,False
0-4 yr,mock_api_iterative,2,0-4 yr:mock_api_iterative:r2:2:exhaustive_structure_discovery,exhaustive_structure_discovery,ablation,I,0,0.1140895203142763,True,False,False
0-4 yr,mock_api_iterative,3,0-4 yr:mock_api_iterative:r3:0:rolling_mean_4wk,rolling_mean_4wk,forecasting_baseline,not_applicable,,0.1794378306878307,True,False,False
0-4 yr,mock_api_iterative,3,0-4 yr:mock_api_iterative:r3:1:delayed_observation_seir,delayed_observation_seir,mechanistic_baseline,not_applicable,,0.2211046093356117,True,False,False
0-4 yr,mock_api_iterative,3,0-4 yr:mock_api_iterative:r3:2:deterministic_seir,deterministic_seir,mechanistic_baseline,not_applicable,,0.2134826030141098,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:0:constrained_structure_discovery,constrained_structure_discovery,structured_search,delayed_I,1,0.100200235379189,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:1:delayed_observation_seir,delayed_observation_seir,mechanistic_baseline,not_applicable,,0.2211046093356117,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:2:arima_auto_small,arima_auto_small,forecasting_baseline,not_applicable,,0.1416666666666667,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:3:rolling_mean_4wk,rolling_mean_4wk,forecasting_baseline,not_applicable,,0.1794378306878307,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:4:no_observation_search_discovery,no_observation_search_discovery,ablation,I,0,0.1575152537203454,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:5:validation_only_structure_selection,validation_only_structure_selection,ablation,delayed_I,1,0.1124130283910399,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:6:random_structure_discovery,random_structure_discovery,ablation,delayed_I,1,0.1006873358594265,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:7:exhaustive_structure_discovery,exhaustive_structure_discovery,ablation,I,0,0.1140895203142763,True,False,False
0-4 yr,mock_api_single_shot,1,0-4 yr:mock_api_single_shot:r1:8:deterministic_seir,deterministic_seir,mechanistic_baseline,not_applicable,,0.2134826030141098,True,False,False
0-4 yr,failure_guided_proposer,1,0-4 yr:failure_guided_proposer:r1:0:constrained_structure_discovery,constrained_structure_discovery,structured_search,delayed_I,1,0.100200235379189,True,False,False
0-4 yr,failure_guided_proposer,1,0-4 yr:failure_guided_proposer:r1:1:no_observation_search_discovery,no_observation_search_discovery,ablation,I,0,0.1575152537203454,True,False,False
0-4 yr,failure_guided_proposer,1,0-4 yr:failure_guided_proposer:r1:2:random_structure_discovery,random_structure_discovery,ablation,delayed_I,1,0.1006873358594265,True,False,False
0-4 yr,failure_guided_proposer,2,0-4 yr:failure_guided_proposer:r2:0:validation_only_structure_selection,validation_only_structure_selection,ablation,delayed_I,1,0.1124130283910399,True,False,False
0-4 yr,failure_guided_proposer,2,0-4 yr:failure_guided_proposer:r2:1:exhaustive_structure_discovery,exhaustive_structure_discovery,ablation,I,0,0.1140895203142763,True,False,False
0-4 yr,failure_guided_proposer,2,0-4 yr:failure_guided_proposer:r2:2:arima_auto_small,arima_auto_small,forecasting_baseline,not_applicable,,0.1416666666666667,True,False,False
0-4 yr,failure_guided_proposer,3,0-4 yr:failure_guided_proposer:r3:0:rolling_mean_4wk,rolling_mean_4wk,forecasting_baseline,not_applicable,,0.1794378306878307,True,False,False
