season,age_group,series_name,recommended_model,decision_type,recommended_test_rank,recommended_rolling_rank,rank_score,best_test_model,best_test_mae,best_rolling_model,best_rolling_mean_mae,recommended_discovery_structure_name,recommended_discovery_fractional,recommended_discovery_observation_map,recommended_discovery_delay_weeks
2018-19,0-4 yr,2018-19 / 0-4 yr,no_observation_search_discovery,balanced_tradeoff,2,2,4.0,validation_only_structure_selection,2.0716517791767903,arima_auto_small,0.6461538461538462,SEIRS,False,I,0.0
2018-19,>= 65 yr,2018-19 / >= 65 yr,arima_auto_small,stability_preferred,2,1,3.0,rolling_mean_4wk,9.960714285714287,arima_auto_small,2.5307692307692307,,,,
2018-19,Overall,2018-19 / Overall,arima_auto_small,stability_preferred,2,1,3.0,rolling_mean_4wk,2.8607142857142853,arima_auto_small,0.6000000000000001,,,,
2019-20,0-4 yr,2019-20 / 0-4 yr,deterministic_seir,balanced_tradeoff,2,2,4.0,validation_only_structure_selection,1.9090265851978594,arima_auto_small,1.0,,,,
2019-20,>= 65 yr,2019-20 / >= 65 yr,arima_auto_small,stability_preferred,4,1,5.0,constrained_structure_discovery,6.0890912515647075,arima_auto_small,1.4692307692307693,,,,
2019-20,Overall,2019-20 / Overall,constrained_structure_discovery,test_preferred,1,2,3.0,constrained_structure_discovery,1.837769714787035,arima_auto_small,0.5153846153846154,SEIHR,True,H,0.0
2021-22,0-4 yr,2021-22 / 0-4 yr,arima_auto_small,stability_preferred,1,1,2.0,rolling_mean_4wk,0.29999999999999993,arima_auto_small,0.2866666666666667,,,,
2021-22,>= 65 yr,2021-22 / >= 65 yr,arima_auto_small,stability_preferred,2,1,3.0,rolling_mean_4wk,1.0,arima_auto_small,0.3933333333333333,,,,
2021-22,Overall,2021-22 / Overall,rolling_mean_4wk,test_preferred,1,2,3.0,rolling_mean_4wk,0.2875,arima_auto_small,0.12000000000000001,,,,
2022-23,0-4 yr,2022-23 / 0-4 yr,rolling_mean_4wk,stability_preferred,3,1,4.0,delayed_observation_seir,0.07862983675748815,rolling_mean_4wk,0.10769230769230768,,,,
2022-23,>= 65 yr,2022-23 / >= 65 yr,arima_auto_small,consensus,1,1,2.0,arima_auto_small,0.1571428571428571,arima_auto_small,0.15384615384615388,,,,
2022-23,Overall,2022-23 / Overall,arima_auto_small,stability_preferred,2,1,3.0,rolling_mean_4wk,0.11071428571428572,arima_auto_small,0.04615384615384615,,,,
2023-24,0-4 yr,2023-24 / 0-4 yr,arima_auto_small,consensus,1,1,2.0,arima_auto_small,0.07272727272727274,arima_auto_small,0.12857142857142861,,,,
2023-24,>= 65 yr,2023-24 / >= 65 yr,no_observation_search_discovery,balanced_tradeoff,2,2,4.0,constrained_structure_discovery,0.13238760810323208,arima_auto_small,0.14761904761904765,SEIHR,False,I,0.0
2023-24,Overall,2023-24 / Overall,deterministic_seir,balanced_tradeoff,2,3,5.0,delayed_observation_seir,0.03606405243802218,arima_auto_small,0.01904761904761905,,,,
2024-25,0-4 yr,2024-25 / 0-4 yr,no_observation_search_discovery,balanced_tradeoff,4,2,6.0,deterministic_seir,0.2427564131140127,arima_auto_small,0.8692307692307695,SIR,False,I,0.0
2024-25,>= 65 yr,2024-25 / >= 65 yr,deterministic_seir,balanced_tradeoff,3,2,5.0,constrained_structure_discovery,0.4567318072588326,arima_auto_small,3.3153846153846156,,,,
2024-25,Overall,2024-25 / Overall,arima_auto_small,stability_preferred,5,1,6.0,deterministic_seir,0.5824661333230398,arima_auto_small,1.0230769230769232,,,,
