series_name,proposer_type,budget,selected_model_at_k,validation_or_rolling_score_at_k,post_selection_test_mae,post_selection_rolling_mae,budget_to_top_epsilon,top_epsilon_hit,numerical_failure_flag,runtime_seconds,candidate_failure_rate,selected_candidate_failed,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,invalid_or_rejected_proposals,candidate_diversity,selection_metric_source,test_metric_usage,evidence_mode
0-4 yr,deterministic_seed_proposer,3,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,1,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,deterministic_seed_proposer,5,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,deterministic_seed_proposer,10,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,random_candidate_proposer,3,rolling_mean_4wk,0.1636011904761905,0.10227272727272728,0.1636011904761905,5,False,False,0.0036225999938324094,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,random_candidate_proposer,5,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,5,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,random_candidate_proposer,10,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,5,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,failure_guided_proposer,3,constrained_structure_discovery,0.1148350019499924,0.09050776948917028,0.1148350019499924,3,True,True,35.855899999965914,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,failure_guided_proposer,5,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,failure_guided_proposer,10,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,mock_api_proposer,3,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,mock_api_proposer,5,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,mock_api_proposer,10,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,oracle_full_candidate_ranking,3,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,oracle_full_candidate_ranking,5,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
0-4 yr,oracle_full_candidate_ranking,10,arima_auto_small,0.1291666666666667,0.08181818181818182,0.1291666666666667,3,True,False,0.04243630007840693,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,deterministic_seed_proposer,3,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,1,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,deterministic_seed_proposer,5,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,deterministic_seed_proposer,10,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,random_candidate_proposer,3,last_observed,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.0032432000152766705,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,random_candidate_proposer,5,last_observed,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.0032432000152766705,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,random_candidate_proposer,10,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,failure_guided_proposer,3,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,failure_guided_proposer,5,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,failure_guided_proposer,10,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,mock_api_proposer,3,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,mock_api_proposer,5,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,mock_api_proposer,10,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,oracle_full_candidate_ranking,3,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,1,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,oracle_full_candidate_ranking,5,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
18-49 yr,oracle_full_candidate_ranking,10,arima_auto_small,0.03178571428571429,0.009090909090909092,0.03178571428571429,3,True,False,0.041398300090804696,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,deterministic_seed_proposer,3,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,1,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,deterministic_seed_proposer,5,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,deterministic_seed_proposer,10,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,random_candidate_proposer,3,last_observed,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.00366720010060817,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,random_candidate_proposer,5,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,random_candidate_proposer,10,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,failure_guided_proposer,3,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,failure_guided_proposer,5,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,failure_guided_proposer,10,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,mock_api_proposer,3,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,mock_api_proposer,5,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,mock_api_proposer,10,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,oracle_full_candidate_ranking,3,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,oracle_full_candidate_ranking,5,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
Overall,oracle_full_candidate_ranking,10,arima_auto_small,0.0319047619047619,0.10909090909090909,0.0319047619047619,3,True,False,0.0426627000560984,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,deterministic_seed_proposer,3,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,1,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,deterministic_seed_proposer,5,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,deterministic_seed_proposer,10,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,random_candidate_proposer,3,rolling_mean_4wk,0.28535714285714286,0.3022727272727273,0.28535714285714286,10,False,False,0.0033954998943954706,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,random_candidate_proposer,5,rolling_mean_4wk,0.28535714285714286,0.3022727272727273,0.28535714285714286,10,False,False,0.0033954998943954706,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,random_candidate_proposer,10,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,10,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,failure_guided_proposer,3,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,failure_guided_proposer,5,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,failure_guided_proposer,10,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,mock_api_proposer,3,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,mock_api_proposer,5,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,mock_api_proposer,10,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,oracle_full_candidate_ranking,3,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,2,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,oracle_full_candidate_ranking,5,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,3,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
>= 65 yr,oracle_full_candidate_ranking,10,arima_auto_small,0.1983333333333333,0.3272727272727272,0.1983333333333333,3,True,False,0.047044800012372434,0.0,False,1.0,0.0,0.0,0.0,0,4,rolling_mean_mae,posthoc_descriptive_only,bounded_real_execution
