layer,series_name,proposer_type,repeat_idx,budget,selected_model_at_k,rolling_score_at_k,post_selection_test_mae,top_epsilon_hit,budget_to_top_epsilon,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,family_diversity,observation_label_diversity,api_status,evidence_mode,selection_metric_source,test_metric_usage
frozen_replay_repeated,Overall,deterministic_seed_proposer,0,3,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,1,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,deterministic_seed_proposer,0,5,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,deterministic_seed_proposer,0,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,0,3,last_observed,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,2,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,0,5,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,0,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,1,3,deterministic_seir,0.0820588425321457,0.0351225754236325,False,10,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,1,5,delayed_observation_seir,0.0814357127058704,0.0350764699201217,False,10,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,1,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,10,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,2,3,constrained_structure_discovery,0.0888715971007055,0.0369673461326827,False,5,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,2,5,arima_auto_small,0.0434920634920634,0.109090909090909,True,5,1.0,0.0,0.0,0.0,3,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,2,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,3,3,deterministic_seir,0.0820588425321457,0.0351225754236325,False,5,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,3,5,last_observed,0.0434920634920634,0.109090909090909,True,5,1.0,0.0,0.0,0.0,4,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,3,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,4,3,delayed_observation_seir,0.0814357127058704,0.0350764699201217,False,10,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,4,5,delayed_observation_seir,0.0814357127058704,0.0350764699201217,False,10,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,random_candidate_proposer,4,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,10,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,failure_guided_proposer,0,3,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,failure_guided_proposer,0,5,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,failure_guided_proposer,0,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,oracle_full_candidate_ranking,0,3,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,oracle_full_candidate_ranking,0,5,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,Overall,oracle_full_candidate_ranking,0,10,arima_auto_small,0.0434920634920634,0.109090909090909,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,deterministic_seed_proposer,0,3,arima_auto_small,0.1416666666666667,0.0818181818181818,False,10,1.0,0.0,0.0,0.0,1,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,deterministic_seed_proposer,0,5,arima_auto_small,0.1416666666666667,0.0818181818181818,False,10,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,deterministic_seed_proposer,0,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,10,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,0,3,no_observation_search_discovery,0.1575152537203454,0.091118122634469,False,5,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,0,5,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,0,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,1,3,last_observed,0.1416666666666667,0.0818181818181818,False,5,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,1,5,random_structure_discovery,0.1006873358594265,0.0884966975923978,True,5,1.0,0.0,0.0,0.0,3,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,1,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,2,3,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,3,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,2,5,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,2,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,3,3,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,3,5,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,3,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,4,3,random_structure_discovery,0.1006873358594265,0.0884966975923978,True,3,1.0,0.0,0.0,0.0,2,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,4,5,random_structure_discovery,0.1006873358594265,0.0884966975923978,True,3,1.0,0.0,0.0,0.0,2,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,0-4 yr,random_candidate_proposer,4,10,constrained_structure_discovery,0.100200235379189,0.0884963717287904,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
